place_id,name,author_name,rating,sentence_text,sentence_sentiment,confidenceScores.positive,confidenceScores.neutral,confidenceScores.negative
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Meet Danny there very interesting guy from Vietnam and knows a lot about it 😇, very professional and knowledgeable about the food and sarcastic.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,Highly recommend this place and must try all dishes 😇😁,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,This was a real treat for me. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,I was in the area for a Dr's appointment and it was my first time in town. ,neutral,0.0,0.99,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,After the appointment I needed something mild for my stomach. ,neutral,0.02,0.83,0.15
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,"I found this place on Google, stopped in to check out the menu, and ordered some Chicken Pho. ",neutral,0.0,0.99,0.01
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,It was super tasty and available as gluten free. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,"The woman who waited on my was very nice and checked in on me several times, which I appreciated very much. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,The bonus was some vintage music playing which seemed very relaxing to me after a stressful morning and mid-day. ,positive,0.96,0.03,0.01
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,THANK YOU!,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"(The egg rolls come with 4 and the dumplings with 8, but my family already grabbed them before the picture) ",neutral,0.01,0.54,0.45
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,This restaurant is amazing!! ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"First off, it's easy to get too. ",positive,0.96,0.04,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,The location is great! ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The seating area reminds me of an early 2000s restaurant, I have no idea why. ",neutral,0.0,0.76,0.23
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"When we came, all the songs playing were Michael Jackson! ",positive,0.76,0.19,0.05
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"I love Michael Jackson, and was excited to hear his music playing. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,The servers were very nice. ,positive,0.96,0.04,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"They welcomed us when we walked in, and gave us waters right away. ",positive,0.63,0.17,0.2
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The menu has descriptions of the food, so it's much easier to decide what you want! ",positive,0.89,0.11,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"I'm a very picky eater, but everything on the menu sounded amazing. ",positive,0.99,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,The food came out so fast. ,positive,0.94,0.03,0.03
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"We ordered the pork fried dumplings, the veggie egg rolls, the beef stir fried chow fun, and the chicken stir fried lo mein. ",positive,0.52,0.45,0.03
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The dumplings came out first, and were excellent! ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,I've never had a better dumpling. ,negative,0.27,0.18,0.55
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The egg rolls were fantastic, and the main dishes were amazing! ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"There was a sauce that they served with the dumplings, and the main dishes, it was so good. ",positive,0.99,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,I wish I could buy it🤣. ,positive,0.9,0.07,0.03
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The food tasted fresh, and came out of the kitchen piping hot. ",positive,0.82,0.06,0.12
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,I actually had to blow on my food for awhile. ,negative,0.01,0.38,0.61
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"The prices are a bit steep, but I think it reflects the ingredients, and the food quality. ",neutral,0.08,0.89,0.04
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,It's definitely worth it! ,positive,0.95,0.04,0.01
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,"I also have stomach issues, and this food barely irritated it! ",negative,0.01,0.01,0.99
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Emilee d 13,5,10/10 would recommend.,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,In the area for business travel and like to try new places. ,neutral,0.42,0.58,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,"Very pleasant atmosphere, clean and quiet. ",positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,The wait staff was very friendly and helpful. ,positive,0.98,0.02,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Ordered the spring rolls and pho.  ,neutral,0.03,0.95,0.03
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,It was prepared quickly and tasted delicious. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,I only gave 4 stars on the food since some of the noodles were clumped together but overall taste was good. ,positive,0.99,0.0,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Note that the price is higher when paying with credit card. ,neutral,0.0,0.99,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,This is noted very clearly on the menu. ,neutral,0.02,0.92,0.07
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Also they added a 15% tip. ,neutral,0.0,1.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,I will Vito again and recommend.,positive,0.98,0.02,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,I got the Bun Bi Cha Gio Nem and I love the fried egg roll and meatballs. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,Maybe the egg rolls had taro inside which made it taste better 🤷. ,positive,0.94,0.02,0.04
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,"I forgot how long it took me to get my food, but it wasn’t long and the waiters always smiled when there was eye contact 😂. 15% gratitude is included in the bill and paying with cash cost less. ",positive,0.97,0.02,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,That’s my experience. ,neutral,0.05,0.94,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,I’m coming back for pho.,neutral,0.0,0.99,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,I love this place. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The food is great and it’s a simple ma and pa place. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The pho is outstanding! ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,( if you’re really hungry you can get extra noodles for $1) ,neutral,0.06,0.69,0.25
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,I always get the spring rolls because they are super fresh. ,positive,0.96,0.04,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The raw beef w tumerum is excellent. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,We got the fish today ( see pic) and it was tasty.,positive,0.98,0.02,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Yue Jin,5,The food was really great! ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Yue Jin,5,The noodles were delicious. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Yue Jin,5,I personally think #21 is better than the classic #10 pho. ,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Yue Jin,5,The desserts were also great. ,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Yue Jin,5,I love the durian shake with actual durian pulp!,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,I had the Beef Pho and the broth was so delicious with some added hot chili sauce. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,It definitely was warming. ,neutral,0.25,0.75,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,My vegetable egg rolls came with the nicest sweet sauce. ,positive,0.95,0.04,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,My server was very helpful and was able to answer the questions I asked. ,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,I definitely will be back again to try other dishes. ,neutral,0.21,0.78,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,"Overall, most of the ingredients tasted fresh and the service was fast. ",positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Katelyn Gelormino,4,My waiter was also very friendly and  made sure I was taken care of.,positive,1.0,0.0,0.0
